iter	Passed	Remaining
462	761	882
463	762	880
464	763	878
465	764	875
466	766	874
467	767	872
468	769	870
469	770	868
470	771	866
471	772	863
472	773	861
473	774	859
474	775	856
475	776	854
476	777	852
477	778	849
478	779	847
479	781	846
480	782	844
481	783	842
482	784	840
483	786	837
484	787	835
485	788	833
486	789	831
487	790	829
488	791	826
489	792	824
490	793	822
491	795	820
492	796	819
493	798	817
494	799	815
495	800	813
496	801	810
497	802	808
498	803	807
499	805	805
500	806	803
501	807	801
502	808	799
503	810	797
504	811	795
505	812	793
506	813	791
507	814	789
508	815	787
509	816	784
510	817	782
511	818	780
512	819	778
513	820	776
514	821	773
515	822	771
516	824	770
517	825	768
518	827	766
519	828	764
520	829	762
521	830	760
522	831	758
523	832	756
524	833	753
525	834	751
526	835	749
527	836	747
528	837	745
529	838	743
530	840	742
531	842	741
532	843	738
533	844	736
534	845	734
535	846	732
536	847	730
537	848	728
538	849	726
539	850	724
540	851	722
541	853	720
542	855	719
543	858	719
544	859	717
545	860	715
546	861	713
547	862	711
548	863	709
549	865	707
550	866	706
551	867	704
552	870	703
553	872	702
554	875	701
555	877	700
556	878	698
557	880	697
558	881	695
559	882	693
560	884	692
561	886	690
562	887	689
563	889	687
564	890	685
565	891	683
566	892	681
567	893	679
568	894	677
569	895	675
570	897	674
571	899	672
572	900	671
573	902	669
574	903	667
575	904	665
576	905	663
577	906	661
578	907	659
579	908	657
580	909	655
581	910	653
582	911	651
583	912	649
584	913	648
585	915	646
586	917	645
587	918	643
588	919	641
589	920	639
590	921	637
591	922	635
592	923	633
593	924	631
594	925	629
595	926	628
596	927	626
597	929	624
598	931	623
599	932	621
600	933	619
601	934	617
602	935	615
603	936	613
604	937	611
605	938	610
606	939	608
607	940	606
608	941	604
609	942	602
610	944	601
611	945	599
612	947	598
613	949	596
614	950	594
615	951	593
616	952	591
617	953	589
618	954	587
619	955	585
620	956	583
621	958	582
622	960	580
623	961	579
624	962	577
625	963	575
626	964	573
627	965	571
628	966	570
629	967	568
630	968	566
631	969	564
632	970	562
633	971	561
634	973	559
635	974	557
636	976	556
637	977	554
638	978	552
639	979	550
640	980	549
641	981	547
642	982	545
643	983	543
644	984	541
645	985	539
646	986	538
647	988	537
648	990	535
649	991	534
650	992	532
651	994	530
652	995	528
653	996	527
654	997	525
655	998	523
656	999	521
657	1000	520
658	1001	518
659	1003	516
660	1005	515
661	1006	513
662	1007	512
663	1008	510
664	1009	508
665	1010	506
666	1011	505
667	1012	503
668	1013	501
669	1015	500
670	1017	499
671	1019	497
672	1021	496
673	1022	494
674	1023	492
675	1024	491
676	1025	489
677	1026	487
678	1027	485
679	1028	484
680	1030	482
681	1032	481
682	1033	479
683	1035	478
684	1036	476
685	1037	475
686	1038	473
687	1039	471
688	1041	470
689	1042	468
690	1043	466
691	1044	464
692	1046	463
693	1047	462
694	1049	460
695	1051	459
696	1052	457
697	1053	455
698	1054	454
699	1055	452
700	1056	450
701	1057	448
702	1058	447
703	1059	445
704	1061	444
705	1063	442
706	1064	441
707	1065	439
708	1066	437
709	1067	436
710	1068	434
711	1069	432
712	1071	431
713	1072	429
714	1073	428
715	1076	426
716	1078	425
717	1080	424
718	1082	422
719	1084	421
720	1086	420
721	1087	418
722	1089	417
723	1092	416
724	1094	415
725	1095	413
726	1096	411
727	1099	410
728	1100	409
729	1101	407
730	1103	405
731	1104	404
732	1106	402
733	1107	401
734	1109	400
735	1111	398
736	1113	397
737	1115	396
738	1117	394
739	1119	393
740	1120	391
741	1121	390
742	1123	388
743	1125	387
744	1126	385
745	1127	384
746	1129	382
747	1130	380
748	1132	379
749	1136	378
750	1138	377
751	1140	375
752	1141	374
753	1142	372
754	1143	371
755	1144	369
756	1145	367
757	1146	366
758	1148	364
759	1149	362
760	1151	361
761	1152	360
762	1154	358
763	1156	357
764	1157	355
765	1158	353
766	1159	352
767	1160	350
768	1161	348
769	1162	347
770	1164	345
771	1166	344
772	1167	342
773	1168	341
774	1170	339
775	1171	338
776	1173	336
777	1174	335
778	1175	333
779	1177	332
780	1178	330
781	1180	328
782	1181	327
783	1183	326
784	1184	324
785	1185	322
786	1186	321
787	1187	319
788	1188	317
789	1189	316
790	1190	314
791	1191	312
792	1193	311
793	1195	310
794	1196	308
795	1198	307
796	1199	305
797	1200	303
798	1201	302
799	1202	300
800	1203	298
801	1204	297
802	1205	295
803	1206	294
804	1207	292
805	1209	291
806	1211	289
807	1212	288
808	1213	286
809	1214	284
810	1215	283
811	1216	281
812	1217	280
813	1219	278
814	1220	276
815	1222	275
816	1225	274
817	1226	272
818	1228	271
819	1230	270
820	1231	268
821	1232	266
822	1233	265
823	1234	263
824	1235	262
825	1236	260
826	1237	258
827	1239	257
828	1241	256
829	1242	254
830	1243	252
831	1244	251
832	1246	249
833	1247	248
834	1248	246
835	1249	245
836	1250	243
837	1251	241
838	1252	240
839	1253	238
840	1255	237
841	1256	235
842	1257	234
843	1258	232
844	1259	231
845	1260	229
846	1261	227
847	1262	226
848	1263	224
849	1264	223
850	1265	221
851	1267	220
852	1268	218
853	1270	217
854	1271	215
855	1272	214
856	1273	212
857	1274	210
858	1275	209
859	1277	207
860	1278	206
861	1279	204
862	1280	203
863	1281	201
864	1282	200
865	1284	198
866	1285	197
867	1286	195
868	1287	194
869	1288	192
870	1290	191
871	1291	189
872	1293	188
873	1294	186
874	1295	185
875	1296	183
876	1297	181
877	1299	180
878	1300	179
879	1301	177
880	1302	175
881	1303	174
